signal,version,IS_n,IS_mean,IS_t,IS_sr,OOS_n,OOS_mean,OOS_t,OOS_sr,POST_n,POST_mean,POST_t,POST_sr,P2015_n,P2015_mean,P2015_t,P2015_sr,IS_skew,IS_worst,IS_worst_z,IS_maxdd_pp,Year,SampleStartYear,SampleEndYear,Cat.Data,Cat.Economic,mech,mech_reason,data_src,Portfolio Period,Stock Weight,Return,T-Stat,Predictability in OP,LongDescription,q5_ew__IS_mean,q5_ew__IS_t,q5_ew__IS_sr,q5_ew__OOS_mean,q5_ew__OOS_t,q5_ew__OOS_sr,q5_ew__POST_mean,q5_ew__POST_t,q5_ew__POST_sr,q5_ew__P2015_mean,q5_ew__P2015_t,q5_ew__P2015_sr,q5_vw__IS_mean,q5_vw__IS_t,q5_vw__IS_sr,q5_vw__OOS_mean,q5_vw__OOS_t,q5_vw__OOS_sr,q5_vw__POST_mean,q5_vw__POST_t,q5_vw__POST_sr,q5_vw__P2015_mean,q5_vw__P2015_t,q5_vw__P2015_sr,me_gt_nyse20__IS_mean,me_gt_nyse20__IS_t,me_gt_nyse20__IS_sr,me_gt_nyse20__OOS_mean,me_gt_nyse20__OOS_t,me_gt_nyse20__OOS_sr,me_gt_nyse20__POST_mean,me_gt_nyse20__POST_t,me_gt_nyse20__POST_sr,me_gt_nyse20__P2015_mean,me_gt_nyse20__P2015_t,me_gt_nyse20__P2015_sr,nyse_only__IS_mean,nyse_only__IS_t,nyse_only__IS_sr,nyse_only__OOS_mean,nyse_only__OOS_t,nyse_only__OOS_sr,nyse_only__POST_mean,nyse_only__POST_t,nyse_only__POST_sr,nyse_only__P2015_mean,nyse_only__P2015_t,nyse_only__P2015_sr,op_OOS_ratio,op_POST_ratio,op_P2015_ratio,q5_ew_OOS_ratio,q5_ew_POST_ratio,q5_ew_P2015_ratio,q5_vw_OOS_ratio,q5_vw_POST_ratio,q5_vw_P2015_ratio,me_gt_nyse20_OOS_ratio,me_gt_nyse20_POST_ratio,me_gt_nyse20_P2015_ratio,smallcap_share_screen,smallcap_share_vw,monthly_rebal,op_OOS_ratio_c,op_POST_ratio_c,op_P2015_ratio_c,q5_ew_OOS_ratio_c,q5_ew_POST_ratio_c,q5_ew_P2015_ratio_c,q5_vw_OOS_ratio_c,q5_vw_POST_ratio_c,q5_vw_P2015_ratio_c,me_gt_nyse20_OOS_ratio_c,me_gt_nyse20_POST_ratio_c,me_gt_nyse20_P2015_ratio_c,alive_2015,alive_2015_big,sc_terc,skew_terc,pub_era
MomSeasonShort,op,456,1.3607,8.6335,1.4005,72,-0.3694,-0.9770,-0.3989,192,0.1200,0.3913,0.0978,120,0.1827,0.4396,0.1390,1.4071,-11.2252,-3.7396,-20.3491,2008,1965,2002,Price,other,M2,seasonality,price,1.0000,EW,1.1500,7.6000,1_clear,Return seasonality last year,1.0898,8.5312,1.3839,-0.3041,-1.0967,-0.4477,0.1069,0.4407,0.1102,0.0529,0.1623,0.0513,0.7356,4.1316,0.6702,-0.2265,-0.5584,-0.2279,0.1726,0.5818,0.1455,0.0659,0.1770,0.0560,0.9411,5.3606,0.8696,-0.8382,-2.6668,-1.0887,-0.1168,-0.4840,-0.1210,-0.3203,-0.9464,-0.2993,1.1384,6.8764,1.1155,-0.2763,-0.7017,-0.2865,-0.0980,-0.3007,-0.0752,-0.2086,-0.4488,-0.1419,-0.2715,0.0882,0.1343,-0.2791,0.0981,0.0485,-0.3079,0.2347,0.0896,-0.8907,-0.1241,-0.3404,0.3084,0.3250,1,-0.2715,0.0882,0.1343,-0.2791,0.0981,0.0485,-0.3079,0.2347,0.0896,-0.8907,-0.1241,-0.3404,0,0,mid,pos skew,2006-2010
MomVol,op,372,1.5937,5.0435,0.9058,60,4.1304,3.1181,1.3944,288,1.1403,1.8534,0.3783,120,2.4921,2.7479,0.8689,-1.1576,-35.3029,-6.0541,-84.9554,2000,1965,1995,Price,momentum,M4,rule: Cat.Economic=momentum,price,3.0000,EW,1.5500,5.7800,1_clear,Momentum in high volume stocks,,,,,,,,,,,,,,,,,,,,,,,,,1.3585,4.8439,0.8700,3.8652,2.8229,1.2624,0.5790,1.0890,0.2223,1.4680,2.0205,0.6389,1.3891,3.8758,0.6961,4.0325,3.4028,1.5218,1.2433,1.8379,0.3752,2.1910,2.0490,0.6479,2.5917,0.7155,1.5637,,,,,,,2.8453,0.4262,1.0807,0.1476,,0,2.5000,0.7155,1.5637,,,,,,,2.5000,0.4262,1.0807,1,1,mid,neg skew,1996-2005
MS,op,288,1.1047,4.9591,1.0123,48,-0.1891,-0.5126,-0.2563,228,0.5487,2.6810,0.6151,120,0.4096,1.2666,0.4005,-0.1173,-15.9859,-4.5208,-15.9859,2005,1978,2001,Accounting,composite accounting,M4,rule: Cat.Economic=composite accounting,accounting,1.0000,EW,1.5750,9.1400,1_clear,Mohanram G-score,,,,,,,,,,,,,,,,,,,,,,,,,0.8185,3.9039,0.7969,-0.0510,-0.1444,-0.0722,0.4617,2.5849,0.5930,0.4815,1.7372,0.5494,0.5508,2.1972,0.4485,-0.4665,-1.1464,-0.5732,0.1263,0.5318,0.1220,0.2483,0.7530,0.2381,-0.1712,0.4967,0.3708,,,,,,,-0.0623,0.5640,0.5883,0.2591,,1,-0.1712,0.4967,0.3708,,,,,,,-0.0623,0.5640,0.5883,0,1,mid,mid,1996-2005
NetDebtFinance,op,342,0.7185,7.6863,1.4398,72,1.0198,4.6229,1.8873,216,0.3634,2.6922,0.6346,120,0.2091,1.0337,0.3269,0.1599,-5.9556,-3.8606,-9.2363,2006,1971,2000,Accounting,external financing,M4,rule: Cat.Economic=external financing,accounting,12.0000,EW,0.6750,6.9100,1_clear,Net debt financing,0.6062,8.6605,1.6223,0.5949,4.4821,1.8298,0.3169,3.4211,0.8064,0.2324,1.7059,0.5394,0.2771,2.7962,0.5238,0.2101,1.0297,0.4204,-0.0109,-0.0856,-0.0202,-0.1549,-0.8436,-0.2668,0.4035,4.5698,0.8560,0.4052,1.5877,0.6482,0.1406,1.0921,0.2574,-0.0029,-0.0160,-0.0051,0.4697,4.1878,0.7844,0.2324,1.0439,0.4262,0.3222,2.2076,0.5203,0.2077,0.9947,0.3146,1.4193,0.5058,0.2910,0.9813,0.5227,0.3834,0.7583,-0.0394,-0.5589,1.0043,0.3486,-0.0072,0.4385,0.5429,0,1.4193,0.5058,0.2910,0.9813,0.5227,0.3834,0.7583,-0.0394,-0.5589,1.0043,0.3486,-0.0072,0,0,high (microcap),mid,2006-2010
NetDebtPrice,op,462,0.5467,3.8408,0.6190,72,0.5237,1.0976,0.4481,204,0.0962,0.2655,0.0644,120,0.1033,0.1914,0.0605,1.6977,-12.3150,-4.2037,-23.4934,2007,1963,2001,Accounting,leverage,M6,leverage/valuation,accounting,12.0000,EW,0.6583,2.3400,1_clear,Net debt to price,0.5467,3.8408,0.6190,0.5237,1.0976,0.4481,0.0962,0.2655,0.0644,0.1033,0.1914,0.0605,0.2646,1.3661,0.2202,0.0196,0.0366,0.0149,0.1087,0.3067,0.0744,0.1067,0.1993,0.0630,0.2629,2.0935,0.3374,-0.0498,-0.1136,-0.0464,-0.3322,-1.1943,-0.2897,-0.2692,-0.6843,-0.2164,0.2837,2.1369,0.3444,0.5135,1.7161,0.7006,-0.2843,-0.7438,-0.1804,-0.1981,-0.3725,-0.1178,0.9579,0.1759,0.1890,0.9579,0.1759,0.1890,0.0742,0.4106,0.4030,-0.1894,-1.2635,-1.0240,0.5191,0.5160,0,0.9579,0.1759,0.1890,0.9579,0.1759,0.1890,0.0742,0.4106,0.4030,-0.1894,-1.2635,-1.0240,0,0,high (microcap),pos skew,2006-2010
NetEquityFinance,op,342,0.7117,3.0104,0.5639,72,0.6598,0.8420,0.3438,216,1.0198,3.0669,0.7229,120,1.2416,2.3429,0.7409,-0.8700,-27.8196,-6.5260,-88.3944,2006,1971,2000,Accounting,external financing,M4,rule: Cat.Economic=external financing,accounting,12.0000,EW,0.9300,3.8200,1_clear,Net equity financing,0.4303,1.9717,0.3693,0.5389,0.7657,0.3126,0.6629,2.6147,0.6163,0.7880,1.9495,0.6165,0.1655,0.8119,0.1521,0.1293,0.2120,0.0865,0.2343,1.0080,0.2376,0.3256,0.9075,0.2870,0.5603,2.7175,0.5090,0.5683,0.8984,0.3668,0.5427,2.2952,0.5410,0.5676,1.5446,0.4885,0.5115,4.0054,0.7503,0.0453,0.1298,0.0530,0.4166,2.0962,0.4941,0.5239,1.8768,0.5935,0.9271,1.4329,1.7446,1.2523,1.5406,1.8313,0.7815,1.4159,1.9676,1.0144,0.9687,1.0130,0.2127,0.6154,0,0.9271,1.4329,1.7446,1.2523,1.5406,1.8313,0.7815,1.4159,1.9676,1.0144,0.9687,1.0130,1,1,mid,neg skew,2006-2010
NetPayoutYield,op,240,0.8834,2.6048,0.5824,48,0.7268,1.6463,0.8232,204,1.4935,3.7779,0.9163,120,1.7593,3.0477,0.9638,-0.5850,-23.6971,-4.6784,-81.0931,2007,1984,2003,Accounting,valuation,M6,rule: Cat.Economic=valuation,accounting,12.0000,EW,0.3700,2.8300,1_clear,Net Payout Yield,0.6507,1.8970,0.4242,0.5169,1.2649,0.6324,0.9742,2.9617,0.7183,1.2448,2.5193,0.7967,0.7073,2.2936,0.5129,-0.2142,-0.4771,-0.2385,0.5583,1.9173,0.4650,0.7496,1.8667,0.5903,0.7753,2.3528,0.5261,0.1750,0.4708,0.2354,0.6779,2.4367,0.5910,0.6488,1.5716,0.4970,0.7811,3.7731,0.8437,-0.5564,-2.0649,-1.0324,0.7012,2.4024,0.5827,0.7487,1.7688,0.5593,0.8227,1.6907,1.9915,0.7944,1.4970,1.9129,-0.3028,0.7893,1.0598,0.2257,0.8744,0.8368,0.1224,-0.0870,0,0.8227,1.6907,1.9915,0.7944,1.4970,1.9129,-0.3028,0.7893,1.0598,0.2257,0.8744,0.8368,1,1,low (big-cap ok),neg skew,2006-2010
NOA,op,468,1.0838,7.5619,1.2109,24,1.5703,1.8004,1.2731,240,0.0180,0.0798,0.0178,120,-0.0981,-0.2688,-0.0850,1.6573,-6.7832,-2.5373,-47.8544,2004,1964,2002,Accounting,asset composition,M6,rule: Cat.Economic=asset composition,accounting,1.0000,EW,1.4800,8.4500,1_clear,Net Operating Assets,0.8460,8.2316,1.3181,0.8994,1.3738,0.9714,-0.0703,-0.3916,-0.0876,-0.0086,-0.0312,-0.0099,0.5102,4.1177,0.6594,0.1753,0.4638,0.3280,0.2208,1.0259,0.2294,0.6331,2.0763,0.6566,0.8018,4.8993,0.7845,0.0912,0.1860,0.1315,0.1082,0.5178,0.1158,0.2378,0.7964,0.2518,0.5089,4.1258,0.6607,-0.0120,-0.0248,-0.0175,0.2148,1.0205,0.2282,0.3254,1.1162,0.3530,1.4488,0.0166,-0.0905,1.0631,-0.0831,-0.0101,0.3436,0.4328,1.2409,0.1137,0.1349,0.2965,0.2602,0.3969,1,1.4488,0.0166,-0.0905,1.0631,-0.0831,-0.0101,0.3436,0.4328,1.2409,0.1137,0.1349,0.2965,0,0,mid,pos skew,1996-2005
OPLeverage,op,552,0.3516,2.5170,0.3711,36,2.0249,3.9088,2.2567,156,-0.0293,-0.1185,-0.0329,120,-0.1074,-0.3429,-0.1084,0.5566,-12.4475,-3.8993,-49.1687,2011,1963,2008,Accounting,other,M6,operating leverage,accounting,12.0000,EW,0.5100,3.3800,1_clear,Operating leverage,0.3516,2.5170,0.3711,2.0249,3.9088,2.2567,-0.0293,-0.1185,-0.0329,-0.1074,-0.3429,-0.1084,0.3001,2.2876,0.3373,0.4894,0.6320,0.3649,0.2817,1.2125,0.3363,0.3027,1.0596,0.3351,0.2460,2.0189,0.2977,0.9123,1.9796,1.1429,0.3817,2.0370,0.5650,0.3521,1.5342,0.4852,0.2852,2.3724,0.3498,0.9473,1.7809,1.0282,0.5098,2.5258,0.7005,0.4942,1.9998,0.6324,5.7584,-0.0833,-0.3054,5.7584,-0.0833,-0.3054,1.6308,0.9386,1.0086,3.7079,1.5512,1.4313,0.3003,0.1466,0,2.5000,-0.0833,-0.3054,2.5000,-0.0833,-0.3054,1.6308,0.9386,1.0086,2.5000,1.5512,1.4313,0,1,mid,pos skew,2011-2016
OptionVolume1,op,178,0.7525,2.0988,0.5449,24,0.6887,2.4894,1.7603,129,0.0966,0.3971,0.1211,105,0.1109,0.3860,0.1305,-0.4977,-25.7160,-5.5332,-87.4128,2012,1996,2010,Options,volume,M1,option volume data,options,1.0000,EW,0.9160,3.4500,1_clear,Option to stock volume,0.7525,2.0988,0.5449,0.6887,2.4894,1.7603,0.0966,0.3971,0.1211,0.1109,0.3860,0.1305,0.3857,1.2451,0.3233,0.2620,0.9969,0.7049,-0.2819,-1.4090,-0.4297,-0.3707,-1.6076,-0.5435,0.6276,1.7129,0.4447,0.7546,2.2234,1.5721,0.1026,0.3922,0.1196,0.0675,0.2183,0.0738,0.5235,2.3013,0.5975,0.6245,1.7984,1.2717,0.2050,0.9226,0.2814,0.1711,0.6598,0.2231,0.9152,0.1283,0.1474,0.9152,0.1283,0.1474,0.6791,-0.7308,-0.9609,1.2024,0.1635,0.1076,0.1660,0.4874,1,0.9152,0.1283,0.1474,0.9152,0.1283,0.1474,0.6791,-0.7308,-0.9609,1.2024,0.1635,0.1076,0,0,mid,neg skew,2011-2016
OrderBacklog,op,228,0.4963,3.3402,0.7663,48,-0.0617,-0.1344,-0.0672,252,-0.2968,-1.9986,-0.4361,120,-0.4690,-2.1129,-0.6682,1.6390,-4.0524,-2.0274,-21.8994,2003,1981,1999,Accounting,sales growth,M4,rule: Cat.Economic=sales growth,accounting,12.0000,EW,,2.3800,1_clear,Order backlog,0.4963,3.3402,0.7663,-0.0617,-0.1344,-0.0672,-0.2968,-1.9986,-0.4361,-0.4690,-2.1129,-0.6682,0.3314,1.2901,0.2960,-0.9389,-0.9673,-0.4837,-0.1594,-0.8169,-0.1783,0.0373,0.1284,0.0406,0.2997,2.0347,0.4668,-0.4062,-0.8653,-0.4326,-0.1527,-1.0249,-0.2237,-0.3793,-1.7492,-0.5531,0.4764,2.2611,0.5187,-0.3039,-0.7461,-0.3730,-0.1760,-1.0573,-0.2307,-0.3842,-1.6140,-0.5104,-0.1244,-0.5980,-0.9450,-0.1244,-0.5980,-0.9450,-2.8334,-0.4810,0.1124,-1.3556,-0.5095,-1.2658,0.3962,0.3323,0,-0.1244,-0.5980,-0.9450,-0.1244,-0.5980,-0.9450,-1.5000,-0.4810,0.1124,-1.3556,-0.5095,-1.2658,0,0,high (microcap),pos skew,1996-2005
OrderBacklogChg,op,330,0.3624,2.3671,0.4514,96,0.2186,0.4856,0.1717,204,0.6593,2.5612,0.6212,120,1.0581,3.0102,0.9519,0.3694,-9.2183,-3.4450,-15.8508,2007,1971,1999,Accounting,accruals,M4,rule: Cat.Economic=accruals,accounting,12.0000,EW,1.1675,,1_clear,Change in order backlog,0.1911,1.7221,0.3284,0.2196,0.7056,0.2495,0.2007,1.0634,0.2579,0.5808,2.2933,0.7252,-0.2584,-1.2862,-0.2453,0.2271,0.4284,0.1514,0.1433,0.5378,0.1304,0.2906,0.7467,0.2361,0.2769,1.5218,0.2902,-0.1467,-0.2466,-0.0872,0.1586,0.6800,0.1649,0.3041,1.0327,0.3266,0.1264,0.6111,0.1165,0.1622,0.2839,0.1004,0.1225,0.3968,0.0962,0.4425,1.1580,0.3662,0.6032,1.8192,2.9198,1.1493,1.0501,3.0395,-0.8789,-0.5545,-1.1248,-0.5297,0.5725,1.0980,0.2358,2.3523,0,0.6032,1.8192,2.5000,1.1493,1.0501,2.5000,-0.8789,-0.5545,-1.1248,-0.5297,0.5725,1.0980,1,0,mid,mid,2006-2010
OrgCap,op,468,0.4091,2.9323,0.4695,60,-0.0391,-0.1564,-0.0700,132,0.1845,0.8601,0.2593,120,0.2015,0.8793,0.2781,0.0775,-10.0119,-3.4528,-42.1460,2013,1970,2008,Accounting,R&D,M6,rule: Cat.Economic=R&D,accounting,12.0000,VW,0.3858,2.8500,1_clear,Organizational capital,0.4091,2.9323,0.4695,-0.0391,-0.1564,-0.0700,0.1845,0.8601,0.2593,0.2015,0.8793,0.2781,0.4091,2.9323,0.4695,-0.0391,-0.1564,-0.0700,0.1845,0.8601,0.2593,0.2015,0.8793,0.2781,0.3101,2.3335,0.3737,-0.4313,-1.4998,-0.6707,0.3082,1.9042,0.5741,0.3474,2.0532,0.6493,0.4099,3.0418,0.4871,-0.3943,-1.1754,-0.5257,0.2933,1.4702,0.4433,0.3325,1.5520,0.4908,-0.0956,0.4511,0.4925,-0.0956,0.4511,0.4925,-0.0956,0.4511,0.4925,-1.3910,0.9939,1.1202,0.2420,0.0000,0,-0.0956,0.4511,0.4925,-0.0956,0.4511,0.4925,-0.0956,0.4511,0.4925,-1.3910,0.9939,1.1202,0,1,mid,mid,2011-2016
OScore,op,180,0.9878,3.2908,0.8497,36,1.3416,1.8062,1.0428,312,1.1061,2.9225,0.5731,120,1.9154,2.9749,0.9407,-0.9219,-15.1569,-4.0087,-69.1980,1998,1981,1995,Accounting,default risk,M6,rule: Cat.Economic=default risk,accounting,1.0000,EW,1.1700,3.3600,1_clear,O Score,,,,,,,,,,,,,,,,,,,,,,,,,1.7915,3.6857,0.9516,1.1091,1.2705,0.7335,0.4773,1.1541,0.2263,0.4927,0.7359,0.2327,0.0818,0.0944,0.0244,1.6441,1.3039,0.7528,0.1628,0.2760,0.0541,0.6813,0.6238,0.1972,1.3582,1.1197,1.9390,,,,,,,0.6191,0.2664,0.2750,-0.8135,,1,1.3582,1.1197,1.9390,,,,,,,0.6191,0.2664,0.2750,1,0,low (big-cap ok),neg skew,1996-2005
PatentsRD,op,321,0.4557,2.2124,0.4278,24,-3.2776,-1.9112,-1.3514,48,-5.2249,-1.9976,-0.9988,48,-5.2249,-1.9976,-0.9988,9.4563,-18.1081,-5.0306,-34.6586,2013,1982,2008,Other,profitability alt,M1,patent data,alt_other,12.0000,VW,0.4100,4.1300,1_clear,Patents to RD expenses,,,,,,,,,,,,,,,,,,,,,,,,,0.2714,2.4046,0.4635,-0.0199,-0.0159,-0.0078,3.6159,1.4335,0.7952,5.2082,1.9227,1.1774,0.1534,1.3857,0.2692,,,,,,,,,,-7.1929,-11.4663,-11.4663,,,,,,,-0.0734,13.3212,19.1876,0.4043,,0,-1.5000,-1.5000,-1.5000,,,,,,,-0.0734,2.5000,2.5000,0,1,high (microcap),pos skew,2011-2016
PayoutYield,op,240,0.4326,2.2799,0.5098,48,0.2844,1.1210,0.5605,204,0.2012,0.8672,0.2103,120,0.1713,0.5333,0.1686,0.4011,-7.9052,-2.8363,-22.8449,2007,1984,2003,Accounting,valuation,M6,rule: Cat.Economic=valuation,accounting,12.0000,EW,0.2800,3.9200,1_clear,Payout Yield,0.2597,1.7975,0.4019,0.2082,0.9610,0.4805,0.2111,1.3100,0.3177,0.1943,0.8931,0.2824,0.2801,1.0003,0.2237,-0.1525,-0.4186,-0.2093,0.3163,1.2802,0.3105,0.5024,1.4519,0.4591,0.5076,2.3448,0.5243,-0.0239,-0.0861,-0.0430,0.2931,1.4050,0.3408,0.3792,1.2294,0.3888,0.2787,1.5052,0.3366,-0.2000,-0.6709,-0.3355,0.4916,1.7028,0.4130,0.3360,0.8796,0.2782,0.6574,0.4651,0.3960,0.8015,0.8129,0.7481,-0.5446,1.1293,1.7940,-0.0470,0.5774,0.7471,-0.1733,-0.0784,0,0.6574,0.4651,0.3960,0.8015,0.8129,0.7481,-0.5446,1.1293,1.7940,-0.0470,0.5774,0.7471,0,0,low (big-cap ok),mid,2006-2010
PctAcc,op,240,0.4548,3.4955,0.7816,36,0.6565,2.6934,1.5550,156,0.1198,1.0161,0.2818,120,0.1313,0.9036,0.2857,0.0411,-6.0151,-3.2099,-23.8174,2011,1989,2008,Accounting,accruals,M4,rule: Cat.Economic=accruals,accounting,12.0000,EW,0.9700,3.2900,1_clear,Percent Operating Accruals,0.4587,4.0760,0.9114,0.5780,2.4701,1.4261,0.1329,1.2771,0.3542,0.1217,0.9606,0.3038,0.2254,1.4614,0.3268,0.2114,0.6263,0.3616,0.0465,0.3478,0.0965,0.0521,0.3185,0.1007,0.4075,2.6791,0.5991,0.6802,2.8538,1.6477,0.0854,0.6095,0.1690,0.1422,0.8191,0.2590,0.2777,2.1506,0.4809,0.8212,2.4307,1.4034,0.1107,0.6057,0.1680,0.1573,0.6849,0.2166,1.4435,0.2634,0.2887,1.2601,0.2897,0.2652,0.9376,0.2061,0.2311,1.6690,0.2095,0.3489,0.1039,0.5086,0,1.4435,0.2634,0.2887,1.2601,0.2897,0.2652,0.9376,0.2061,0.2311,1.6690,0.2095,0.3489,0,0,low (big-cap ok),mid,2011-2016
PctTotAcc,op,240,0.4958,4.6903,1.0488,36,-0.2165,-0.8827,-0.5096,156,0.3881,2.7942,0.7750,120,0.3861,2.2272,0.7043,-0.1661,-6.7005,-4.3945,-16.3240,2011,1989,2008,Accounting,accruals,M4,rule: Cat.Economic=accruals,accounting,12.0000,EW,0.7100,3.2900,1_clear,Percent Total Accruals,0.3392,2.8379,0.6346,0.3092,1.2804,0.7392,0.2097,1.5299,0.4243,0.2101,1.2414,0.3926,0.0536,0.3730,0.0834,0.2508,0.9485,0.5476,0.0983,0.6648,0.1844,0.0973,0.5400,0.1707,0.3158,2.6063,0.5828,-0.0325,-0.1524,-0.0880,0.2384,1.9156,0.5313,0.1931,1.2684,0.4011,0.0846,0.6967,0.1558,0.1270,0.3339,0.1928,0.2313,1.6151,0.4480,0.2351,1.3215,0.4179,-0.4366,0.7829,0.7788,0.9115,0.6181,0.6195,4.6780,1.8333,1.8140,-0.1030,0.7549,0.6112,0.3629,0.8419,0,-0.4366,0.7829,0.7788,0.9115,0.6181,0.6195,2.5000,1.8333,1.8140,-0.1030,0.7549,0.6112,1,0,mid,neg skew,2011-2016
Price,op,480,1.4303,3.0578,0.4835,24,-1.6078,-1.3805,-0.9762,612,0.3285,1.1215,0.1570,120,-0.5450,-0.7884,-0.2493,4.9682,-16.3124,-1.7313,-58.4224,1973,1932,1971,Price,other,M3,low-price stocks,price,1.0000,EW,,2.9000,1_clear,Price,1.4303,3.0578,0.4835,-1.6078,-1.3805,-0.9762,0.3285,1.1215,0.1570,-0.5450,-0.7884,-0.2493,0.8651,2.3262,0.3678,-2.1664,-1.8251,-1.2905,-0.3163,-0.9900,-0.1386,-0.9183,-1.3233,-0.4185,0.5912,1.8760,0.2966,-1.4700,-1.8144,-1.2830,-0.1422,-0.7616,-0.1066,-0.4739,-1.1414,-0.3609,1.3616,2.9766,0.4706,-1.8373,-1.8457,-1.3051,0.1186,0.4769,0.0668,-0.2300,-0.3772,-0.1193,-1.1241,0.2297,-0.3810,-1.1241,0.2297,-0.3810,-2.5044,-0.3656,-1.0615,-2.4864,-0.2406,-0.8015,0.5866,0.3952,1,-1.1241,0.2297,-0.3810,-1.1241,0.2297,-0.3810,-1.5000,-0.3656,-1.0615,-1.5000,-0.2406,-0.8015,0,0,high (microcap),pos skew,<=1995
PriceDelayRsq,op,456,0.4917,2.7251,0.4421,48,1.5479,2.2410,1.1205,224,-0.2528,-1.0544,-0.2441,116,-0.5071,-1.5210,-0.4892,-0.0336,-11.6164,-3.1425,-48.9949,2005,1964,2001,Price,lead lag,M5,rule: Cat.Economic=lead lag,price,12.0000,EW,0.3100,3.4000,1_clear,Price delay r square,0.3837,2.4392,0.3957,1.2598,2.1198,1.0599,-0.3498,-1.6049,-0.3715,-0.5436,-1.8460,-0.5937,-0.2898,-1.7235,-0.2796,0.5298,0.9252,0.4626,-0.7852,-3.2689,-0.7566,-1.0084,-2.8368,-0.9124,-0.0578,-0.3661,-0.0594,0.6439,0.8882,0.4441,-0.5568,-2.9874,-0.6914,-0.6765,-2.7135,-0.8727,-0.0009,-0.0060,-0.0010,0.0824,0.1396,0.0698,-0.3139,-1.0713,-0.2480,-0.3869,-1.0121,-0.3255,3.1482,-0.5142,-1.0313,3.2833,-0.9118,-1.4166,-1.8282,2.7098,3.4800,-11.1399,9.6339,11.7045,1.1176,1.7552,0,2.5000,-0.5142,-1.0313,2.5000,-0.9118,-1.4166,-1.5000,2.5000,2.5000,-1.5000,2.5000,2.5000,0,0,high (microcap),mid,1996-2005
PS,op,252,1.0480,3.6426,0.7949,48,0.8022,1.1260,0.5630,288,0.5950,1.1543,0.2356,120,-0.5333,-0.8922,-0.2821,0.1830,-10.0147,-2.4222,-38.0984,2000,1976,1996,Accounting,composite accounting,M4,rule: Cat.Economic=composite accounting,accounting,1.0000,VW,1.9583,5.5940,1_clear,Piotroski F-score,0.6916,3.2242,0.7036,1.0573,1.7930,0.8965,0.1966,0.4462,0.0911,-0.6360,-1.2354,-0.3907,0.6916,3.2242,0.7036,1.0573,1.7930,0.8965,0.1966,0.4462,0.0911,-0.6360,-1.2354,-0.3907,1.0742,3.6178,0.7895,1.1321,1.3762,0.6881,0.5814,1.0989,0.2243,-0.4421,-0.8313,-0.2629,1.0224,3.1492,0.6872,0.5989,0.7163,0.3581,0.6082,1.1253,0.2297,-0.3499,-0.5702,-0.1803,0.7654,0.5677,-0.5089,1.5286,0.2843,-0.9196,1.5286,0.2843,-0.9196,1.0539,0.5413,-0.4115,-0.0249,0.0000,1,0.7654,0.5677,-0.5089,1.5286,0.2843,-0.9196,1.5286,0.2843,-0.9196,1.0539,0.5413,-0.4115,0,0,low (big-cap ok),mid,1996-2005
RD,op,252,1.0123,5.8549,1.2776,72,2.5177,2.2223,0.9072,276,0.2238,0.6582,0.1372,120,-0.2961,-0.5712,-0.1806,1.1416,-4.1227,-1.8708,-12.5148,2001,1975,1995,Accounting,R&D,M6,rule: Cat.Economic=R&D,accounting,12.0000,EW,0.8875,,1_clear,R&D over market cap,1.0123,5.8549,1.2776,2.5177,2.2223,0.9072,0.2238,0.6582,0.1372,-0.2961,-0.5712,-0.1806,-0.1760,-0.7618,-0.1662,1.4757,1.6541,0.6753,0.0337,0.0971,0.0203,-0.1481,-0.2989,-0.0945,0.3187,1.9162,0.4181,1.6642,1.6959,0.6923,0.1216,0.4655,0.0971,0.1727,0.4577,0.1447,0.4254,2.4530,0.5353,0.7535,1.8993,0.7754,0.0831,0.3363,0.0701,0.0159,0.0361,0.0114,2.4870,0.2211,-0.2924,2.4870,0.2211,-0.2924,-8.3831,-0.1916,0.8414,5.2226,0.3816,0.5419,0.6852,1.1739,0,2.4870,0.2211,-0.2924,2.4870,0.2211,-0.2924,-1.5000,-0.1916,0.8414,2.5000,0.3816,0.5419,0,0,high (microcap),pos skew,1996-2005
RDAbility,op,360,0.3078,1.7372,0.3172,48,0.0198,0.0640,0.0320,132,0.2126,0.7810,0.2355,120,0.1991,0.6901,0.2182,0.3350,-11.2728,-3.4447,-44.0219,2013,1980,2009,Accounting,other,M4,R&D ability underpriced,accounting,1.0000,EW,1.3500,2.6100,1_clear,R&D ability,0.3078,1.7372,0.3172,0.0198,0.0640,0.0320,0.2126,0.7810,0.2355,0.1991,0.6901,0.2182,0.3544,1.0865,0.1984,-0.2631,-0.5469,-0.2734,-0.3234,-0.7111,-0.2144,-0.3680,-0.7499,-0.2372,0.1775,0.8697,0.1588,-0.1212,-0.4165,-0.2083,-0.1623,-0.6087,-0.1835,-0.2092,-0.7519,-0.2378,0.3112,0.7374,0.1346,-1.0379,-0.5254,-0.2627,0.1817,0.2322,0.0700,0.0677,0.0793,0.0251,0.0644,0.6907,0.6470,0.0644,0.6907,0.6470,-0.7425,-0.9127,-1.0383,-0.6830,-0.9143,-1.1787,0.4233,-0.1514,1,0.0644,0.6907,0.6470,0.0644,0.6907,0.6470,-0.7425,-0.9127,-1.0383,-0.6830,-0.9143,-1.1787,0,0,high (microcap),mid,2011-2016
